StartTime,EndTime,AreaID,UnitName,PsrType,quantity
2022-06-05T13:00+00:00Z,2022-06-05T14:00+00:00Z,10YSE-1--------K,MAW,B12,5517
2022-06-05T14:00+00:00Z,2022-06-05T15:00+00:00Z,10YSE-1--------K,MAW,B12,5660
2022-06-05T15:00+00:00Z,2022-06-05T16:00+00:00Z,10YSE-1--------K,MAW,B12,6141
2022-06-05T16:00+00:00Z,2022-06-05T17:00+00:00Z,10YSE-1--------K,MAW,B12,6491
2022-06-05T17:00+00:00Z,2022-06-05T18:00+00:00Z,10YSE-1--------K,MAW,B12,6762
2022-06-05T18:00+00:00Z,2022-06-05T19:00+00:00Z,10YSE-1--------K,MAW,B12,6917
2022-06-05T19:00+00:00Z,2022-06-05T20:00+00:00Z,10YSE-1--------K,MAW,B12,6789
2022-06-05T20:00+00:00Z,2022-06-05T21:00+00:00Z,10YSE-1--------K,MAW,B12,6191
2022-06-05T21:00+00:00Z,2022-06-05T22:00+00:00Z,10YSE-1--------K,MAW,B12,6182
2022-06-05T22:00+00:00Z,2022-06-05T23:00+00:00Z,10YSE-1--------K,MAW,B12,6215
2022-06-05T23:00+00:00Z,2022-06-06T00:00+00:00Z,10YSE-1--------K,MAW,B12,6287
2022-06-06T00:00+00:00Z,2022-06-06T01:00+00:00Z,10YSE-1--------K,MAW,B12,6657
2022-06-06T01:00+00:00Z,2022-06-06T02:00+00:00Z,10YSE-1--------K,MAW,B12,6922
2022-06-06T02:00+00:00Z,2022-06-06T03:00+00:00Z,10YSE-1--------K,MAW,B12,7252
2022-06-06T03:00+00:00Z,2022-06-06T04:00+00:00Z,10YSE-1--------K,MAW,B12,7705
2022-06-06T04:00+00:00Z,2022-06-06T05:00+00:00Z,10YSE-1--------K,MAW,B12,8142
2022-06-06T05:00+00:00Z,2022-06-06T06:00+00:00Z,10YSE-1--------K,MAW,B12,8088
2022-06-06T06:00+00:00Z,2022-06-06T07:00+00:00Z,10YSE-1--------K,MAW,B12,7743
2022-06-06T07:00+00:00Z,2022-06-06T08:00+00:00Z,10YSE-1--------K,MAW,B12,7338
2022-06-06T08:00+00:00Z,2022-06-06T09:00+00:00Z,10YSE-1--------K,MAW,B12,6432
2022-06-06T09:00+00:00Z,2022-06-06T10:00+00:00Z,10YSE-1--------K,MAW,B12,6045
2022-06-06T10:00+00:00Z,2022-06-06T11:00+00:00Z,10YSE-1--------K,MAW,B12,5980
2022-06-06T11:00+00:00Z,2022-06-06T12:00+00:00Z,10YSE-1--------K,MAW,B12,5969
2022-06-06T12:00+00:00Z,2022-06-06T13:00+00:00Z,10YSE-1--------K,MAW,B12,6078
2022-06-06T13:00+00:00Z,2022-06-06T14:00+00:00Z,10YSE-1--------K,MAW,B12,6494
2022-06-06T14:00+00:00Z,2022-06-06T15:00+00:00Z,10YSE-1--------K,MAW,B12,7815
2022-06-06T15:00+00:00Z,2022-06-06T16:00+00:00Z,10YSE-1--------K,MAW,B12,8015
2022-06-06T16:00+00:00Z,2022-06-06T17:00+00:00Z,10YSE-1--------K,MAW,B12,7879
2022-06-06T17:00+00:00Z,2022-06-06T18:00+00:00Z,10YSE-1--------K,MAW,B12,7688
2022-06-06T18:00+00:00Z,2022-06-06T19:00+00:00Z,10YSE-1--------K,MAW,B12,7027
2022-06-06T19:00+00:00Z,2022-06-06T20:00+00:00Z,10YSE-1--------K,MAW,B12,6358
2022-06-06T20:00+00:00Z,2022-06-06T21:00+00:00Z,10YSE-1--------K,MAW,B12,5858
2022-06-06T21:00+00:00Z,2022-06-06T22:00+00:00Z,10YSE-1--------K,MAW,B12,5521
2022-06-06T22:00+00:00Z,2022-06-06T23:00+00:00Z,10YSE-1--------K,MAW,B12,5449
2022-06-06T23:00+00:00Z,2022-06-07T00:00+00:00Z,10YSE-1--------K,MAW,B12,5566
2022-06-07T00:00+00:00Z,2022-06-07T01:00+00:00Z,10YSE-1--------K,MAW,B12,5720
2022-06-07T01:00+00:00Z,2022-06-07T02:00+00:00Z,10YSE-1--------K,MAW,B12,6313
2022-06-07T02:00+00:00Z,2022-06-07T03:00+00:00Z,10YSE-1--------K,MAW,B12,7531
2022-06-07T03:00+00:00Z,2022-06-07T04:00+00:00Z,10YSE-1--------K,MAW,B12,8633
2022-06-07T04:00+00:00Z,2022-06-07T05:00+00:00Z,10YSE-1--------K,MAW,B12,9186
2022-06-07T05:00+00:00Z,2022-06-07T06:00+00:00Z,10YSE-1--------K,MAW,B12,9450
2022-06-07T06:00+00:00Z,2022-06-07T07:00+00:00Z,10YSE-1--------K,MAW,B12,9512
2022-06-07T07:00+00:00Z,2022-06-07T08:00+00:00Z,10YSE-1--------K,MAW,B12,9473
2022-06-07T08:00+00:00Z,2022-06-07T09:00+00:00Z,10YSE-1--------K,MAW,B12,9402
2022-06-07T09:00+00:00Z,2022-06-07T10:00+00:00Z,10YSE-1--------K,MAW,B12,9227
2022-06-07T10:00+00:00Z,2022-06-07T11:00+00:00Z,10YSE-1--------K,MAW,B12,9199
2022-06-07T11:00+00:00Z,2022-06-07T12:00+00:00Z,10YSE-1--------K,MAW,B12,9258
2022-06-07T12:00+00:00Z,2022-06-07T13:00+00:00Z,10YSE-1--------K,MAW,B12,9275
2022-06-07T13:00+00:00Z,2022-06-07T14:00+00:00Z,10YSE-1--------K,MAW,B12,9281
2022-06-07T14:00+00:00Z,2022-06-07T15:00+00:00Z,10YSE-1--------K,MAW,B12,9232
2022-06-07T15:00+00:00Z,2022-06-07T16:00+00:00Z,10YSE-1--------K,MAW,B12,9392
2022-06-07T16:00+00:00Z,2022-06-07T17:00+00:00Z,10YSE-1--------K,MAW,B12,8787
2022-06-07T17:00+00:00Z,2022-06-07T18:00+00:00Z,10YSE-1--------K,MAW,B12,8842
2022-06-07T18:00+00:00Z,2022-06-07T19:00+00:00Z,10YSE-1--------K,MAW,B12,8580
2022-06-07T19:00+00:00Z,2022-06-07T20:00+00:00Z,10YSE-1--------K,MAW,B12,8320
2022-06-07T20:00+00:00Z,2022-06-07T21:00+00:00Z,10YSE-1--------K,MAW,B12,8124
2022-06-07T21:00+00:00Z,2022-06-07T22:00+00:00Z,10YSE-1--------K,MAW,B12,8017
2022-06-07T22:00+00:00Z,2022-06-07T23:00+00:00Z,10YSE-1--------K,MAW,B12,7636
2022-06-07T23:00+00:00Z,2022-06-08T00:00+00:00Z,10YSE-1--------K,MAW,B12,7640
2022-06-08T00:00+00:00Z,2022-06-08T01:00+00:00Z,10YSE-1--------K,MAW,B12,7569
2022-06-08T01:00+00:00Z,2022-06-08T02:00+00:00Z,10YSE-1--------K,MAW,B12,7614
2022-06-08T02:00+00:00Z,2022-06-08T03:00+00:00Z,10YSE-1--------K,MAW,B12,7938
2022-06-08T03:00+00:00Z,2022-06-08T04:00+00:00Z,10YSE-1--------K,MAW,B12,9379
2022-06-08T04:00+00:00Z,2022-06-08T05:00+00:00Z,10YSE-1--------K,MAW,B12,9814
2022-06-08T05:00+00:00Z,2022-06-08T06:00+00:00Z,10YSE-1--------K,MAW,B12,9971
2022-06-08T06:00+00:00Z,2022-06-08T07:00+00:00Z,10YSE-1--------K,MAW,B12,9966
2022-06-08T07:00+00:00Z,2022-06-08T08:00+00:00Z,10YSE-1--------K,MAW,B12,9890
2022-06-08T08:00+00:00Z,2022-06-08T09:00+00:00Z,10YSE-1--------K,MAW,B12,9741
2022-06-08T09:00+00:00Z,2022-06-08T10:00+00:00Z,10YSE-1--------K,MAW,B12,9644
2022-06-08T10:00+00:00Z,2022-06-08T11:00+00:00Z,10YSE-1--------K,MAW,B12,9636
2022-06-08T11:00+00:00Z,2022-06-08T12:00+00:00Z,10YSE-1--------K,MAW,B12,9529
2022-06-08T12:00+00:00Z,2022-06-08T13:00+00:00Z,10YSE-1--------K,MAW,B12,9491
2022-06-08T13:00+00:00Z,2022-06-08T14:00+00:00Z,10YSE-1--------K,MAW,B12,9527
2022-06-08T14:00+00:00Z,2022-06-08T15:00+00:00Z,10YSE-1--------K,MAW,B12,9642
2022-06-08T15:00+00:00Z,2022-06-08T16:00+00:00Z,10YSE-1--------K,MAW,B12,9709
2022-06-08T16:00+00:00Z,2022-06-08T17:00+00:00Z,10YSE-1--------K,MAW,B12,9318
2022-06-08T17:00+00:00Z,2022-06-08T18:00+00:00Z,10YSE-1--------K,MAW,B12,9300
2022-06-08T18:00+00:00Z,2022-06-08T19:00+00:00Z,10YSE-1--------K,MAW,B12,9205
